iter	Logloss
0	0.5593237315
1	0.4730164038
2	0.4147065365
3	0.380697183
4	0.3562158097
5	0.3406477999
6	0.3289148228
7	0.3200348377
8	0.3129092164
9	0.308343015
10	0.3034650799
11	0.2993360758
12	0.2965451002
13	0.2936274965
14	0.2910842953
15	0.2894734923
16	0.2878339681
17	0.2864455097
18	0.2847668173
19	0.2838439234
20	0.2825892477
21	0.2814830065
22	0.280717938
23	0.2801052886
24	0.2791554902
25	0.2776209874
26	0.277048703
27	0.2760971373
28	0.2753173922
29	0.2745855199
30	0.2738619197
31	0.2732990531
32	0.2724060773
33	0.2719570946
34	0.2714122445
35	0.2709299331
36	0.270413435
37	0.2700921203
38	0.2696972502
39	0.2692743585
40	0.2685817637
41	0.268118645
42	0.2676622729
43	0.2671979071
44	0.2667073317
45	0.2663051329
46	0.2659315354
47	0.2656895497
48	0.26520384
49	0.2648856626
50	0.2645433827
51	0.2642491691
52	0.2638177388
53	0.2634845253
54	0.263149645
55	0.2629064685
56	0.2626294505
57	0.2622223816
58	0.2619148001
59	0.2615708645
60	0.2611947743
61	0.2608177194
62	0.2605838312
63	0.2602268646
64	0.2598996033
65	0.2595872582
66	0.259414652
67	0.2592199761
68	0.2588777141
69	0.2587243651
70	0.2585366216
71	0.258311807
72	0.2579075211
73	0.2577021132
74	0.2574363876
75	0.257168797
76	0.25685599
77	0.2567337824
78	0.2565349148
79	0.2564353143
80	0.2561747796
81	0.2560265171
82	0.2558617963
83	0.2555699706
84	0.2553705498
85	0.2552288957
86	0.2550542283
87	0.2549242219
88	0.2547614373
89	0.2546105706
90	0.2544997481
91	0.2542639566
92	0.2541199415
93	0.2537636096
94	0.2535234628
95	0.2530759882
96	0.2528664427
97	0.2527123021
98	0.2525025423
99	0.2523425243
100	0.252033397
101	0.2518972163
102	0.2517818199
103	0.2514994272
104	0.2512737246
105	0.251138932
106	0.2510305917
107	0.2508967817
108	0.2507236528
109	0.2505332743
110	0.2503484183
111	0.2501363792
112	0.2499699088
113	0.2494041197
114	0.2491865358
115	0.2489517786
116	0.2488324364
117	0.2487213
118	0.2486040962
119	0.2484223211
120	0.2482757965
121	0.2478918869
122	0.2477080278
123	0.2476358348
124	0.2474408424
125	0.2472890863
126	0.2471374439
127	0.24695922
128	0.2468420857
129	0.2466787697
130	0.246557367
131	0.2464237272
132	0.2463385438
133	0.2462262987
134	0.2460820554
135	0.2459565581
136	0.2458520389
137	0.2456035931
138	0.2455031292
139	0.2453468004
140	0.2452169655
141	0.2451161462
142	0.2449795211
143	0.2447545295
144	0.2446116087
145	0.2444792767
146	0.2443593657
147	0.2441585236
148	0.2440501918
149	0.2439355571
150	0.2438055626
151	0.2436771637
152	0.2434144191
153	0.2433416585
154	0.2432487165
155	0.2431129044
156	0.2430430617
157	0.2429048821
158	0.2428198156
159	0.2427487828
160	0.2425633326
161	0.2424955401
162	0.2423818548
163	0.2423133789
164	0.2421697045
165	0.2420613588
166	0.241944315
167	0.2418543854
168	0.2417531996
169	0.2416943637
170	0.2416195238
171	0.2415372368
172	0.2413954868
173	0.2412867514
174	0.2411984332
175	0.2410143099
176	0.2409656282
177	0.2409087886
178	0.2407956247
179	0.2407303077
180	0.2405330093
181	0.2404469923
182	0.2403392195
183	0.2402505387
184	0.2401787802
185	0.2400902211
186	0.240043573
187	0.239982001
188	0.2399044192
189	0.2398355244
190	0.2397678967
191	0.2397284341
192	0.2396291276
193	0.239538694
194	0.239388678
195	0.2393475493
196	0.2392881911
197	0.2392219451
198	0.2391474164
199	0.2390854542
200	0.2390113856
201	0.238964191
202	0.2388936803
203	0.2388268164
204	0.2387704849
205	0.2387090353
206	0.2386611083
207	0.2386094078
208	0.2385896892
209	0.2385117237
210	0.2383749814
211	0.2383205249
212	0.2382608319
213	0.2381467739
214	0.2380606406
215	0.2380013458
216	0.2379017254
217	0.2378466316
218	0.2378143766
219	0.2377511438
220	0.2376668473
221	0.2376363837
222	0.2375541423
223	0.2374890653
224	0.2374462658
225	0.2373620785
226	0.2373082781
227	0.2372612864
228	0.2372282813
229	0.2370811073
230	0.2370087591
231	0.2369391897
232	0.2369145351
233	0.2368554517
234	0.2368005187
235	0.2367357432
236	0.2366868294
237	0.2366283592
238	0.2365783694
239	0.2365141963
240	0.2364516398
241	0.236385598
242	0.2362557225
243	0.2361022084
244	0.2360503798
245	0.2360033659
246	0.2358987289
247	0.2358408465
248	0.2357750779
249	0.2357142127
250	0.2355709669
251	0.2354785329
252	0.2353944564
253	0.2353193153
254	0.2352491119
255	0.235185681
256	0.2351148045
257	0.2350246809
258	0.234993264
259	0.2349742648
260	0.2349380165
261	0.2349088633
262	0.2348264039
263	0.2347536399
264	0.2346926993
265	0.2346531004
266	0.2346158916
267	0.2345640971
268	0.2345096852
269	0.2344576936
270	0.2344114086
271	0.2343340144
272	0.2343004439
273	0.2342465103
274	0.2341957525
275	0.2341082685
276	0.2340614419
277	0.2340245479
278	0.2339739971
279	0.2339516007
280	0.2339032831
281	0.2338357779
282	0.2338034372
283	0.2337557981
284	0.2336785709
285	0.2336433946
286	0.2335983234
287	0.2335435371
288	0.23350257
289	0.2334713979
290	0.2334562683
291	0.2333824872
292	0.2333194166
293	0.2332737491
294	0.233199484
295	0.2331484307
296	0.2330912016
297	0.2330431
298	0.2329867079
299	0.2329200116
300	0.232886116
301	0.2328489237
302	0.2327748352
303	0.2327297736
304	0.2326837489
305	0.2326592102
306	0.2326110456
307	0.232577244
308	0.2325461575
309	0.2324800524
310	0.2323949969
311	0.2323385823
312	0.2322922286
313	0.2322534402
314	0.232215604
315	0.2321806487
316	0.2321491156
317	0.2321135943
318	0.2320826295
319	0.2320311321
320	0.2319866455
321	0.2319291228
322	0.2318751652
323	0.2318476545
324	0.2317913168
325	0.231733982
326	0.2316609259
327	0.2316052012
328	0.2315700139
329	0.2315295912
330	0.2314094592
331	0.2313416404
332	0.2313033127
333	0.2312680654
334	0.2312323515
335	0.2311881965
336	0.2311080784
337	0.2310721502
338	0.2310250346
339	0.2309601527
340	0.2308927276
341	0.2308306659
342	0.2308097697
343	0.230763254
344	0.2307344629
345	0.2306952301
346	0.2306610161
347	0.230613039
348	0.2305549047
349	0.2305034774
350	0.2304647466
351	0.2304438736
352	0.2304109108
353	0.2303597033
354	0.2303151009
355	0.2302799268
356	0.2302358424
357	0.2302148842
358	0.2301791114
359	0.2301485915
360	0.2301019977
361	0.2300679741
362	0.2300364373
363	0.2300118181
364	0.2299496237
365	0.2299245357
366	0.2298681513
367	0.2298275429
368	0.2297897269
369	0.2297445896
370	0.229716984
371	0.2296774986
372	0.2296257398
373	0.2295980124
374	0.2295643154
375	0.2295408123
376	0.2295264602
377	0.2295042961
378	0.2294555472
379	0.2294287154
380	0.2294016016
381	0.2293808933
382	0.2293263547
383	0.2292723255
384	0.2291958732
385	0.2291420455
386	0.2291208007
387	0.2290755697
388	0.2290313501
389	0.2289995621
390	0.2289461783
391	0.2289142651
392	0.2288878273
393	0.2288483491
394	0.2288127194
395	0.2287405834
396	0.2287082118
397	0.2286803529
398	0.2286350684
399	0.2286122795
400	0.2285626879
401	0.228528052
402	0.2284779003
403	0.2284562015
404	0.2284312394
405	0.2283883117
406	0.228347643
407	0.2283082464
408	0.2282588492
409	0.2282330915
410	0.2281778015
411	0.2281435845
412	0.2280999202
413	0.2280638053
414	0.2280295143
415	0.2279957305
416	0.2279671096
417	0.2279242612
418	0.227895667
419	0.2278542075
420	0.227823909
421	0.2276816555
422	0.2276497986
423	0.2276272394
424	0.2276029779
425	0.2275157963
426	0.2274845963
