iter	Passed	Remaining
0	94	94522
1	179	89487
2	267	88842
3	356	88839
4	443	88259
5	530	87805
6	615	87310
7	703	87285
8	788	86875
9	881	87257
10	960	86344
11	1046	86173
12	1132	85990
13	1215	85584
14	1300	85402
15	1387	85312
16	1474	85244
17	1559	85073
18	1643	84873
19	1728	84688
20	1813	84540
21	1901	84516
22	1981	84169
23	2060	83798
24	2149	83838
25	2227	83443
26	2311	83310
27	2399	83291
28	2479	83030
29	2566	82982
30	2651	82892
31	2732	82659
32	2818	82580
33	2903	82488
34	2987	82372
35	3075	82347
36	3162	82312
37	3242	82082
38	3323	81898
39	3410	81847
40	3490	81644
41	3578	81633
42	3661	81495
43	3747	81418
44	3824	81167
45	3910	81091
46	3988	80873
47	4067	80668
48	4146	80478
49	4229	80360
50	4311	80229
51	4390	80039
52	4470	79886
53	4555	79811
54	4638	79700
55	4724	79645
56	4802	79457
57	4888	79398
58	4974	79344
59	5056	79213
60	5139	79120
61	5225	79049
62	5305	78911
63	5389	78816
64	5466	78638
65	5548	78526
66	5631	78420
67	5712	78299
68	5790	78130
69	5870	77999
70	5946	77807
71	6026	77672
72	6103	77503
73	6181	77349
74	6264	77256
75	6348	77184
76	6429	77074
77	6512	76982
78	6591	76841
79	6672	76728
80	6748	76567
81	6829	76460
82	6909	76334
83	6994	76273
84	7073	76139
85	7152	76012
86	7237	75949
87	7317	75838
88	7400	75754
89	7479	75627
90	7559	75508
91	7641	75417
92	7725	75344
93	7800	75184
94	7880	75067
95	7962	74984
96	8047	74915
97	8128	74817
98	8205	74680
99	8285	74565
100	8366	74470
101	8452	74417
102	8532	74309
103	8614	74221
104	8695	74117
105	8778	74038
106	8859	73935
107	8941	73853
108	9023	73757
109	9108	73695
110	9192	73625
111	9275	73543
112	9350	73394
113	9427	73267
114	9505	73150
115	9581	73019
116	9674	73010
117	9757	72936
118	9844	72879
119	9928	72811
120	10018	72775
121	10101	72700
122	10184	72618
123	10263	72505
124	10337	72362
125	10420	72283
126	10503	72202
127	10585	72116
128	10666	72022
129	10747	71923
130	10823	71799
131	10905	71713
132	10983	71601
133	11069	71536
134	11153	71465
135	11236	71382
136	11314	71270
137	11401	71216
138	11483	71131
139	11568	71066
140	11648	70966
141	11727	70862
142	11814	70806
143	11898	70732
144	11977	70627
145	12060	70544
146	12146	70483
147	12230	70409
148	12311	70313
149	12396	70246
150	12478	70161
151	12566	70106
152	12648	70023
153	12728	69924
154	12811	69843
155	12897	69778
156	12980	69697
157	13062	69613
158	13139	69500
159	13221	69410
160	13309	69356
161	13388	69258
162	13477	69209
163	13558	69113
164	13643	69043
165	13726	68963
166	13815	68914
167	13901	68845
168	13981	68749
169	14062	68659
170	14143	68565
171	14226	68486
172	14319	68452
173	14399	68356
174	14481	68269
175	14565	68191
176	14642	68082
177	14727	68012
178	14815	67950
179	14896	67859
180	14983	67800
181	15065	67711
182	15151	67642
183	15230	67544
184	15316	67476
185	15404	67413
186	15481	67306
187	15563	67220
188	15646	67138
189	15729	67055
190	15813	66978
191	15896	66897
192	15980	66820
193	16055	66705
194	16139	66628
195	16223	66551
196	16308	66477
197	16388	66381
198	16472	66303
199	16556	66224
200	16642	66155
201	16726	66078
202	16809	65995
203	16891	65909
204	16976	65835
205	17053	65730
206	17139	65660
207	17220	65569
208	17296	65463
209	17383	65396
210	17468	65322
211	17554	65247
212	17653	65228
213	17747	65183
214	17836	65122
215	17924	65060
216	18018	65014
217	18110	64966
218	18205	64924
219	18300	64881
220	18392	64832
221	18478	64758
222	18570	64704
223	18663	64655
224	18771	64656
225	18867	64616
226	18965	64582
227	19055	64519
228	19146	64462
229	19237	64403
230	19329	64347
231	19423	64299
232	19504	64207
233	19601	64164
234	19698	64123
235	19795	64084
236	19883	64013
237	19982	63976
238	20078	63931
239	20172	63879
240	20266	63828
241	20361	63777
242	20456	63727
243	20552	63678
244	20647	63628
245	20743	63578
246	20833	63513
247	20922	63443
248	21026	63418
249	21126	63379
250	21228	63346
251	21322	63290
252	21417	63236
253	21512	63183
254	21617	63156
255	21711	63099
256	21796	63015
257	21890	62955
258	21978	62880
259	22065	62803
260	22152	62723
261	22242	62652
262	22335	62589
263	22433	62540
264	22525	62477
265	22613	62399
266	22706	62335
267	22798	62271
268	22890	62205
269	22983	62139
